code,description
230266001,Non-familial Alzheimer's disease of early onset (disorder)
230267005,Familial Alzheimer's disease of late onset (disorder)
230268000,Non-familial Alzheimer's disease of late onset (disorder)
230270009,Frontotemporal dementia (disorder)
230271008,Pick's disease with Pick bodies (disorder)
230277007,Lewy body disease (disorder)
230282000,Post-traumatic dementia (disorder)
230287006,Mixed cortical and subcortical vascular dementia (disorder)
230288001,Semantic dementia (disorder)
230290000,Epileptic dementia (disorder)
2421000119107,Hallucinations co-occurrent and due to late onset dementia (disorder)
25772007,Multi-infarct dementia with delusions (disorder)
266134000,Tabes dorsalis (disorder)
268613002,Vascular dementia (disorder)
268744003,Dementia (& [presenile] or [senile]) (disorder)
26929004,Alzheimer's disease (disorder)
288631000119104,Vascular dementia with behavioral disturbance (disorder)
293671000119109,Behavioral disturbance due to multi-infarct dementia (disorder)
304603007,Variant Creutzfeldt-Jakob disease (disorder)
32875003,Inhalant-induced persisting dementia (disorder)
371024007,Senile dementia with delusion (disorder)
371026009,Senile dementia with psychosis (disorder)
397791000000109,[X]Dementia in other specified diseases classified elsewhere (disorder)
402771000000101,[X]Delirium superimposed on dementia (disorder)
412631000000106,[X]Other vascular dementia (disorder)
413281000000101,"[X]Vascular dementia, unspecified (disorder)"
413681000000103,[X] Dementia: [unspecif] or [presenile NOS (including presenile psychosis NOS)] or [primary degenerative NOS] or [senile NOS (including senile psychosis NOS)] or [senile depressed or paranoid type] (disorder)
414351000000102,[X]Dementia in Creutzfeldt-Jakob disease (disorder)
416780008,"Primary degenerative dementia of the Alzheimer type, presenile onset (disorder)"
416975007,"Primary degenerative dementia of the Alzheimer type, senile onset (disorder)"
419261000000107,"[X]Dementia in Alzheimer's dis, atypical or mixed type (disorder)"
425390006,Dementia associated with Parkinson's Disease (disorder)
42769004,Diffuse Lewy body disease with spongiform cortical change (disorder)
429998004,Vascular dementia (disorder)
443491000000105,[X]Dementia in Alzheimer's disease (disorder)
443541000000101,"[X]Dementia in Alzheimer's disease, unspecified (disorder)"
464291000000103,[X]Dementia in other diseases classified elsewhere (disorder)
51928006,General paresis - neurosyphilis (disorder)
52448006,Dementia (disorder)
544871000000102,Other alcoholic dementia (disorder)
54502004,"Primary degenerative dementia of the Alzheimer type, presenile onset, with delusions (disorder)"
55009008,"Primary degenerative dementia of the Alzheimer type, senile onset, with delusions (disorder)"
56267009,Multi-infarct dementia (disorder)
613591000000100,Presenile dementia NOS (disorder)
62102009,AIDS with presenile dementia (disorder)
62239001,Parkinson-dementia complex of Guam (disorder)
671511000000100,Alcoholic dementia NOS (disorder)
698625002,Dementia associated with normal pressure hydrocephalus (disorder)
698726009,Dementia associated with viral encephalitis (disorder)
698781002,Dementia associated with cerebral anoxia (disorder)
698948009,Vascular dementia in remission (disorder)
700911000000100,Other senile/presenile dementia (disorder)
702393003,Frontotemporal dementia with gene located on 3p11 (disorder)
702426001,GRN-related frontotemporal dementia (disorder)
703544004,Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia (disorder)
70936005,"Multi-infarct dementia, uncomplicated (disorder)"
713488003,Presenile dementia co-occurrent with human immunodeficiency virus infection (disorder)
715737004,Parkinsonism co-occurrent with dementia of Guadeloupe (disorder)
715807002,Familial Creutzfeldt-Jakob (disorder)
716281000,Primary progressive non fluent aphasia (disorder)
716667005,Right temporal atrophy variant frontotemporal dementia (disorder)
722978000,Toxic dementia (disorder)
722979008,Dementia due to metabolic abnormality (disorder)
722980006,Dementia due to chromosomal anomaly (disorder)
723390000,Rapidly progressive dementia (disorder)
724776007,Dementia due to disorder of central nervous system (disorder)
724777003,Dementia due to infectious disease (disorder)
724992007,Epilepsy co-occurrent and due to dementia (disorder)
733184002,Dementia caused by heavy metal exposure (disorder)
733185001,Dementia following injury caused by exposure to ionizing radiation (disorder)
733191004,Dementia due to chronic subdural hematoma (disorder)
733193001,Dementia co-occurrent and due to progressive multifocal leukoencephalopathy (disorder)
733194007,Dementia co-occurrent and due to Down syndrome (disorder)
762351006,Dementia due to and following injury of head (disorder)
762707000,Subcortical dementia (disorder)
774069007,Protein kinase cAMP-dependent type I regulatory subunit beta-related neurodegenerative dementia with intermediate filaments (disorder)
783258000,Familial dementia Danish type (disorder)
788861009,Aggression due to dementia (finding)
788899002,Dementia due to pellagra (disorder)
789170003,Disinhibited behavior due to dementia (disorder)
79341000119107,Mixed dementia (disorder)
80098002,Diffuse Lewy body disease (disorder)
82361000119107,Altered behavior in dementia due to Huntington chorea (disorder)
833326008,Cortical vascular dementia (disorder)
838276009,"Amyotrophic lateral sclerosis, parkinsonism, dementia complex (disorder)"
840452004,Classical sporadic Creutzfeldt-Jakob disease (disorder)
840464007,Dementia due to carbon monoxide poisoning (disorder)
840465008,Dementia due to iron deficiency (disorder)
860826006,Creutzfeldt-Jakob Disease caused by human growth hormone (disorder)
88339003,Dementia arising in the senium AND/OR presenium (disorder)
90194001,AIDS with organic dementia (disorder)
922061000000103,Sporadic Creutzfeldt-Jakob disease (disorder)
97751000119108,Altered behavior in Alzheimer's disease (disorder)
10349009,Multi-infarct dementia with delirium (disorder)
10532003,"Primary degenerative dementia of the Alzheimer type, presenile onset, with depression (disorder)"
105421000119105,Early onset Alzheimer's disease with behavioral disturbance (disorder)
1089531000000108,Predominantly cortical vascular dementia (disorder)
1089581000000107,Predominantly cortical dementia (disorder)
111480006,Psychoactive substance-induced organic dementia (disorder)
1148924004,Dementia due to deficiency of folic acid (disorder)
1156798001,Autosomal dominant Alzheimer disease due to mutation of presenilin 2 (disorder)
1186881003,Dementia due to niacin deficiency (disorder)
1186883000,Dementia due to nutritional deficiency disorder (disorder)
1186887004,Dementia caused by manganese and/or manganese compound (disorder)
1187004001,Chronic traumatic encephalopathy (disorder)
12348006,Presenile dementia (disorder)
1259124000,Amyotrophic lateral sclerosis with frontotemporal dementia (disorder)
1259469003,Dementia due to Gerstmann Straussler Scheinker syndrome (disorder)
1259471003,Dementia due to Hashimoto encephalopathy (disorder)
1259473000,Dementia due to fragile X syndrome (disorder)
1259480003,Dementia due to fatal familial insomnia (disorder)
1259488005,Dementia due to cerebral amyloid angiopathy (disorder)
1259492003,Dementia due to metastatic malignant neoplasm to brain (disorder)
1259496000,Dementia due to Lyme disease (disorder)
1259499007,Dementia due to hemorrhagic cerebral infarction due to hypertension (disorder)
1259501004,Dementia due to kuru (disorder)
1259513009,Dementia due to Whipple disease (disorder)
1259522005,Dementia due to variant Creutzfeldt-Jakob disease (disorder)
1259524006,Dementia due to trypanosomiasis (disorder)
1259531005,Dementia due to hypertensive encephalopathy (disorder)
1259581001,Dementia due to celiac disease (disorder)
1259584009,Dementia due to and following dialysis (disorder)
1259586006,Dementia due to autoimmune encephalitis (disorder)
1259661008,Dementia due to inflammatory disorder of musculoskeletal system (disorder)
1259663006,Dementia due to polyarteritis nodosa (disorder)
1259677009,Dementia due to multiple system atrophy (disorder)
1259679007,Dementia due to atypical pantothenate kinase associated neurodegeneration (disorder)
1260328002,Familial multiple system deposition of tau protein (disorder)
1260353004,Frontotemporal dementia due to VCP mutation (disorder)
1260354005,Frontotemporal dementia due to C9orf72 mutation (disorder)
1260355006,Frontotemporal dementia due to FUS mutation (disorder)
1263585001,Frontal variant non-amnestic Alzheimer disease (disorder)
130121000119104,Dementia due to Rett syndrome (disorder)
134423002,Alzheimer's disease with late onset (disorder)
135811000119107,Lewy body dementia with behavioral disturbance (disorder)
141991000119109,Delusions in Alzheimer's disease (disorder)
142811000119104,Dementia due to Alzheimer's disease (disorder)
154846004,Uncomplicated senile dementia (disorder)
154847008,Presenile dementia (disorder)
154848003,Senile dementia with depressive or paranoid features (disorder)
154849006,Senile dementia with delirium (disorder)
154851005,Other senile/presenile dementia (disorder)
1591000119103,Dementia with behavioral disturbance (disorder)
161465002,History of dementia (situation)
191449005,Uncomplicated senile dementia (disorder)
191451009,Uncomplicated presenile dementia (disorder)
191452002,Presenile dementia with delirium (disorder)
191457008,Senile dementia with depressive or paranoid features (disorder)
191459006,Senile dementia with depression (disorder)
191466007,Arteriosclerotic dementia with depression (disorder)
191467003,Arteriosclerotic dementia NOS (disorder)
192160005,[X]Dementia in Alzheimer's disease (disorder)
192162002,Dementia in Alzheimer's disease with late onset (disorder)
192164001,"[X]Dementia in Alzheimer's disease, unspecified (disorder)"
192165000,Vascular dementia (disorder)
192169006,Mixed cortical and subcortical vascular dementia (disorder)
192171006,"[X]Vascular dementia, unspecified (disorder)"
192173009,[X]Dementia in other diseases classified elsewhere (disorder)
192175002,[X]Dementia in Creutzfeldt-Jakob disease (disorder)
192176001,[X]Dementia in Huntington's disease (disorder)
192177005,[X]Dementia in Parkinson's disease (disorder)
192178000,Acquired immune deficiency syndrome dementia complex (disorder)
192179008,[X]Dementia in other specified diseases classif elsewhere (disorder)
192184002,[X]Delirium superimposed on dementia (disorder)
192802002,Dementia in Alzheimer's disease with early onset (disorder)
192803007,Dementia in Alzheimer's disease with late onset (disorder)
192808003,Lewy body disease (disorder)
194481000,[X]Other Alzheimer's disease (disorder)
198681000000106,[X]Lewy body dementia (disorder)
229672009,Language disorder of dementia (disorder)
230258005,Amyotrophic lateral sclerosis with dementia (disorder)
230265002,Familial Alzheimer's disease of early onset (disorder)
230269008,Focal Alzheimer's disease (disorder)
230272001,Pick's disease with Pick cells and no Pick bodies (disorder)
230275004,Lewy body disease (disorder)
230276003,Lewy body disease (disorder)
230280008,Progressive aphasia in Alzheimer's disease (disorder)
230281007,Argyrophilic grain disease (disorder)
230283005,Punch drunk syndrome (disorder)
230284004,Spongiform encephalopathy (disorder)
230285003,Vascular dementia of acute onset (disorder)
230286002,Subcortical vascular dementia (disorder)
230289009,Patchy dementia (disorder)
231463001,Alcoholic dementia NOS (disorder)
26852004,"Primary degenerative dementia of the Alzheimer type, senile onset, with depression (disorder)"
268615009,Other alcoholic dementia (disorder)
268675002,[X]Unspecified dementia (disorder)
278857002,Dementia of frontal lobe type (disorder)
279982005,Cerebral degeneration presenting primarily with dementia (disorder)
281004,Dementia associated with alcoholism (disorder)
286932008,Other senile/presenile dementia (disorder)
31081000119101,Presenile dementia with delusions (disorder)
312991009,Senile dementia of the Lewy body type (disorder)
390000004,Binswanger's disease (disorder)
41161000000104,Multi-infarct dementia
414361000000104,[X]Dementia in Huntington's disease (disorder)
420614009,Organic dementia with acquired immunodeficiency syndrome (disorder)
421023003,Presenile dementia with acquired immunodeficiency syndrome (disorder)
421529006,Dementia with acquired immunodeficiency syndrome (disorder)
429458009,Dementia due to Creutzfeldt Jakob disease (disorder)
442344002,Dementia due to Huntington chorea (disorder)
443781000000102,[X]Other Alzheimer's disease (disorder)
455381000000102,[X]Dementia in Pick's disease (disorder)
471341000000106,[X]Unspecified dementia (disorder)
479161000000109,[X]Dementia in Parkinson's disease (disorder)
4817008,"Primary degenerative dementia of the Alzheimer type, senile onset, with delirium (disorder)"
59651006,"Sedative, hypnotic AND/OR anxiolytic-induced persisting dementia (disorder)"
597951000000102,Arteriosclerotic dementia NOS (disorder)
613601000000106,Senile dementia with depressive or paranoid features NOS (disorder)
6475002,"Primary degenerative dementia of the Alzheimer type, presenile onset, uncomplicated (disorder)"
65096006,"Primary degenerative dementia of the Alzheimer type, presenile onset, with delirium (disorder)"
66108005,"Primary degenerative dementia of the Alzheimer type, senile onset, uncomplicated (disorder)"
698624003,Dementia associated with cerebral lipidosis (disorder)
698626001,Dementia associated with multiple sclerosis (disorder)
698687007,Post-traumatic dementia with behavioral change (disorder)
698725008,Dementia associated with neurosyphilis (disorder)
698949001,Dementia in remission (disorder)
698954005,"Primary degenerative dementia of the Alzheimer type, senile onset in remission (disorder)"
698955006,"Primary degenerative dementia of the Alzheimer type, presenile onset in remission (disorder)"
702421006,Familial encephalopathy with neuroserpin inclusion bodies (disorder)
702429008,Frontotemporal dementia with parkinsonism-17 (disorder)
713060000,Sporadic Creutzfeldt-Jakob disease (disorder)
713844000,Dementia co-occurrent with human immunodeficiency virus infection (disorder)
715574002,Posterior cortical atrophy syndrome (disorder)
715662009,Iatrogenic Jakob-Creutzfeldt disease (disorder)
716994006,Behavioral variant of frontotemporal dementia (disorder)
721219005,Familial Alzheimer-like prion disease (disorder)
721255002,Acquired prion disease (disorder)
722600006,Non-amnestic Alzheimer disease (disorder)
722977005,Dementia co-occurrent and due to neurocysticercosis (disorder)
723123001,Ischemic vascular dementia (disorder)
725898002,Delirium co-occurrent with dementia (disorder)
733190003,Dementia due to primary malignant neoplasm of brain (disorder)
733192006,Dementia due to herpes encephalitis (disorder)
762350007,Dementia due to prion disease (disorder)
783161005,Familial dementia British type (disorder)
78511000000104,Multi-infarct dementia
788862002,Agitation due to dementia (finding)
788898005,Dementia caused by volatile inhalant (disorder)
792004,Jakob-Creutzfeldt disease (disorder)
79358009,Transmissible virus dementia (disorder)
82351000119105,Altered behavior due to Pick's disease (disorder)
82371000119101,Dementia due to multiple sclerosis with altered behavior (disorder)
82381000119103,Epileptic dementia with behavioral disturbance (disorder)
82959004,Dementia paralytica juvenilis (disorder)
90099008,Subcortical leukoencephalopathy (disorder)
90253000,Progressive subcortical gliosis (disorder)
922071000000105,Sporadic Creutzfeldt Jakob disease
9345005,Dialysis dementia (disorder)
